sigla_tipo,numero,ano,ementa,votada_plenario,cod_tipo,id,casa,tema,autor,link
PDL,344,2019,"Susta parcialmente o Decreto nº 275, de 27 de outubro de 1991, para excluir o assentamento Nova Floresta da área demarcada como reserva indígena Uru-eu-wau-wau, localizada no Estado de Rondônia.",0,557,2205527,camara,Estrutura Fundiária,Mauro Nazif,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205527
PDL,345,2019,"Susta a aplicação do Decreto nº 9.806, de 28 de maio de 2019, que altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - Conama.",0,557,2205541,camara,Meio Ambiente e Desenvolvimento Sustentável,Rodrigo Agostinho,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205541
PL,3231,2019,"Altera a redação de dispositivos do Decreto-Lei nº 4.238, de 8 de abril de 1942, e da Lei nº 9.605, de 12 de fevereiro de 1998, para proibir o manuseio, a utilização, a queima e a soltura de fogos de artifício e artefatos pirotécnicos de qualquer classe em eventos realizados com a participação de animais, em áreas próximas a zoológicos, santuários e abrigos de animais, em parques públicos e em áreas de preservação permanente.",0,139,2205603,camara,Meio Ambiente e Desenvolvimento Sustentável,Celso Sabino,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205603
PL,3232,2019,"Dispõe sobre Cães Comunitários, estabelece normas para seu abrigamento e dá outras providências.",0,139,2205604,camara,Meio Ambiente e Desenvolvimento Sustentável,Reinhold Stephanes Junior,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205604
PDL,353,2019,"Susta, nos termos do art. 49, V, da Constituição, o Decreto nº 9.806, de 28 de maio de 2019.",0,557,2205754,camara,Meio Ambiente e Desenvolvimento Sustentável,Jandira Feghali,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205754
PDL,362,2019,"Susta, nos termos do art. 49, V, da Constituição Federal, o Decreto nº 9.806, de 28 de maio de 2019, do Poder Executivo, que altera o Decreto nº 99.274, de 6 de junho de 1990, para dispor sobre a composição e o funcionamento do Conselho Nacional do Meio Ambiente - Conama.",0,557,2205833,camara,Meio Ambiente e Desenvolvimento Sustentável,Leonardo Monteiro; Nilto Tatto; Paulo Pimenta,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2205833
PL,3276,2019,Aumenta a pena dos delitos em caso de desrespeito à legislação que proíbe a caça de animais,0,139,2206299,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206299
PL,3278,2019,Estimula a criação de bancos de sangue veterinários para animais domésticos,0,139,2206302,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206302
PL,3279,2019,Proíbe o uso de chicotes em animais,0,139,2206303,camara,Meio Ambiente e Desenvolvimento Sustentável,Célio Studart,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206303
PL,3285,2019,"Dispõe sobre a proibição de construção de cava subaquática em oceanos, rios, lagos, lagoas ou estuários com a finalidade de disposição de resíduos sólidos, semissólidos e pastosos ou sedimentos contaminados.",0,139,2206354,camara,Meio Ambiente e Desenvolvimento Sustentável,Rosana Valle,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206354
PL,3291,2019,"CRIA O PROGRAMA DE RECUPERAÇÃO AMBIENTAL DENOMINADO PROTEÇÃO DAS ÁGUAS DOS RIOS MARANHESES, E DÁ OUTRAS PROVIDÊNCIAS.",0,139,2206396,camara,Meio Ambiente e Desenvolvimento Sustentável,Gil Cutrim,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206396
PL,3295,2019,"Dispõe sobre a isenção de cobrança de tarifa de energia elétrica utilizadas em poços artesianos, e dá outras providências.",0,139,2206405,camara,"Agricultura, Pecuária, Pesca e Extrativismo",Wilson Santiago,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2206405
