sigla_tipo,numero,ano,ementa,id,casa,tema,autor,link
PL,2362,2019,"Revoga o Capítulo IV - Da Reserva Legal, da Lei nº 12.651, de 25 de maio de 2012, que dispõe  sobre a proteção da vegetação nativa, para garantir o direito constitucional de propriedade.",136371,senado,Meio ambiente,"Senador Flávio Bolsonaro (PSL/RJ), Senador Marcio Bittar (MDB/AC)",https://www25.senado.leg.br/web/atividade/materias/-/materia/136371
PRS,26,2019,"Altera a Resolução do Senado Federal nº 93, de 1970 – Regimento Interno do Senado Federal, para determinar a criação do Colégio de Líderes.",135819,senado,Nao especificado,Senadora Eliziane Gama (PPS/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/135819
PDL,258,2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Rodeiro para executar serviço de radiodifusão comunitária no Município de Rodeiro, Estado de Minas Gerais.",136704,senado,Nao especificado,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136704
PDL,411,2019,"Aprova o ato que renova a autorização outorgada à Obras Sociais e Culturais Conceição de Itajaí para executar serviço de radiodifusão comunitária no Município de Itajaí, Estado de Santa Catarina.",137376,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137376
PRS,35,2019,"Dispõe sobre a contratação de serviços pelo Senado Federal, com fundamento no art. 2º e art. 52, XIII, da Constituição Federal.",136272,senado,Nao especificado, Comissão Diretora do Senado Federal,https://www25.senado.leg.br/web/atividade/materias/-/materia/136272
PL,875,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, para tratar da conversão de multas.",135332,senado,Meio ambiente,Senador Telmário Mota (PROS/RR),https://www25.senado.leg.br/web/atividade/materias/-/materia/135332
PDL,233,2019,"Susta o Decreto nº 9.785, de 07 de Maio de 2019, que regulamenta a Lei nº 10.826, de 22 de dezembro de 2003, para dispor sobre a aquisição, o cadastro, o registro, a posse, o porte e a comercialização de armas de fogo e de munição e sobre o Sistema Nacional de Armas e o Sistema Nacional de Gerenciamento Militar de Armas.",136635,senado,Nao especificado,Senador Randolfe Rodrigues (REDE/AP),https://www25.senado.leg.br/web/atividade/materias/-/materia/136635
PL,1452,2019,"Altera a Lei nº 12.334, de 20 de setembro de 2010, que estabelece a Política Nacional de Segurança de Barragens destinadas à acumulação de água para quaisquer usos, à disposição final ou temporária de rejeitos e à acumulação de resíduos industriais, para prever o reaproveitamento e a redução de rejeitos.",135686,senado,Meio ambiente,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/135686
PRS,22,2019,"Altera o art. 332 da Resolução nº 93, de 27 de novembro de 1970 – Regimento Interno do Senado Federal, para permitir a subscrição de requerimento de desarquivamento de proposição por Líderes.",135663,senado,Nao especificado,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/135663
PL,1417,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências, para majorar as penas cominadas aos crimes relacionados a poluição e a condutas com produtos perigosos.",135664,senado,Meio ambiente,Senadora Rose de Freitas (PODE/ES),https://www25.senado.leg.br/web/atividade/materias/-/materia/135664
PDL,474,2019,"Aprova o ato que outorga autorização à Associação Cristal de Radiodifusão para executar serviço de radiodifusão comunitária no Município de Chapecó, Estado de Santa Catarina.",137738,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137738
PDL,476,2019,"Aprova o ato que outorga autorização ao Instituto Movimento da Comunidade para executar serviço de radiodifusão comunitária no Município de Mairiporã, Estado de São Paulo.",137740,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137740
PDL,249,2019,"Aprova o ato que outorga autorização à Associação Cultural Rádio Comunitária de Itamaraty - ACRCI para executar serviço de radiodifusão comunitária no Município de Ibirapitanga, Estado da Bahia.",136695,senado,Nao especificado,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136695
PDL,250,2019,"Aprova o ato que renova a autorização outorgada à Associação Comunitária de Água Fria e Barra para executar serviço de radiodifusão comunitária no Município de Água Fria, Estado da Bahia.",136696,senado,Nao especificado,Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/136696
PL,3182,2019,"Altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências, para disciplinar procedimentos e prazos de análise e julgamento de autos de infração ambiental.",137008,senado,Meio ambiente,Senador Veneziano Vital do Rêgo (PSB/PB),https://www25.senado.leg.br/web/atividade/materias/-/materia/137008
PDL,404,2019,Susta os efeitos legislativos da Ação Direta de Inconstitucionalidade por Omissão (ADO) nº 26 e do Mandado de Injunção (MI) nº 4.733.,137328,senado,Nao especificado,Senador Marcos Rogério (DEM/RO),https://www25.senado.leg.br/web/atividade/materias/-/materia/137328
PL,3791,2019,"Institui a Política Nacional de Pagamento por Serviços Ambientais - PNPSA, e altera as Leis nº 6.938, de 31 de agosto de 1981, nº 8.212, de 24 de julho de 1991, nº 8.666, de 21 de junho de 1993, nº 7.797, de 10 de julho de 1989, e nº 12.114, de 9 de dezembro de 2009.",137486,senado,Meio ambiente,Senador Styvenson Valentim (PODEMOS/RN),https://www25.senado.leg.br/web/atividade/materias/-/materia/137486
PRS,37,2019,"Autoriza o Município de Camaçari (BA) a contratar operação de crédito externo, com garantia da República Federativa do Brasil, com a Corporação Andina de Fomento (CAF), no valor de até US$ 80.000.000,00 (oitenta milhões de dólares dos Estados Unidos da América).",136423,senado,Nao especificado, Comissão de Assuntos Econômicos,https://www25.senado.leg.br/web/atividade/materias/-/materia/136423
PL,1790,2019,"Estabelece a obrigatoriedade de que o empreendedor de barragem contrate seguro contra danos a terceiros, em virtude do rompimento ou vazamento da barragem e dá outras providências.",135986,senado,Meio ambiente,Senador Jader Barbalho (MDB/PA),https://www25.senado.leg.br/web/atividade/materias/-/materia/135986
PDL,409,2019,"Aprova o ato que renova a autorização outorgada à Associação de Rádio e Difusão Comunitária Educativa Interativa Jaruense para executar serviço de radiodifusão comunitária no Município de Jaru, Estado de Rondônia.",137374,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/137374
PL,1405,2019,Dispõe sobre penalidade a quem lança nas águas lixo plástico de embarcações.,135651,senado,Meio ambiente,Senador Veneziano Vital do Rêgo (PSB/PB),https://www25.senado.leg.br/web/atividade/materias/-/materia/135651
PDL,3,2019,"Susta a aplicação do Decreto nº 7.724, de 16 de maio de 2012, no que diz respeito à delegação da competência de classificação de informações públicas nos graus de sigilo ultrassecreto ou secreto.",135454,senado,Nao especificado, Câmara dos Deputados,https://www25.senado.leg.br/web/atividade/materias/-/materia/135454
PL,1918,2019,"Altera as Leis nº 6.938, de 31 de agosto de 1981; nº 7.802, de 11 de julho de 1989; nº 12.651, de 25 de maio de 2012; e nº 13.123, de 20 de maio de 2015; para estabelecer medidas de estímulo à pesquisa e à proteção das populações de polinizadores.",136084,senado,Meio ambiente,Senador Lasier Martins (PODE/RS),https://www25.senado.leg.br/web/atividade/materias/-/materia/136084
PRS,63,2019,Institui o Grupo Parlamentar Brasil-Reino dos Países Baixos.,137772,senado,Nao especificado,Senador Roberto Rocha (PSDB/MA),https://www25.senado.leg.br/web/atividade/materias/-/materia/137772
PRS,64,2019,Institui o Grupo Parlamentar Brasil-Países árabes e dá outras providências.,137799,senado,Nao especificado,Senador Jean Paul Prates (PT/RN),https://www25.senado.leg.br/web/atividade/materias/-/materia/137799
PL,1600,2019,"Altera a redação do § 2º do art. 5º da Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional de Meio Ambiente e dá outras providências, para incluir como prioritárias as aplicações de recursos financeiros no Cerrado.",135818,senado,Meio ambiente,Senador Jorge Kajuru (PSB/GO),https://www25.senado.leg.br/web/atividade/materias/-/materia/135818
