proposicao,id_camara,id_senado,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,classificacao_ambientalismo,explicacao_ambientalismo
PL 1779/2019,2195536,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1788/2019,2195611,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1816/2019,2195731,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PLP 84/2019,2195775,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1846/2019,2195866,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1889/2019,2196029,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 1934/2019,2196364,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1958/2019,2196462,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1963/2019,2196468,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1964/2019,2196469,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1970/2019,2196486,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1995/2019,2196676,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 1996/2019,2196678,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2069/2019,2196952,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2191/2019,2197426,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2197/2019,2197458,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2204/2019,2197532,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2226/2019,2197694,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2237/2019,2197747,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2241/2019,2197787,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 114/2019,2197956,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 117/2019,2197974,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2275/2019,2198006,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 124/2019,2198087,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2289/2019,2198136,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 130/2019,2198142,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2293/2019,2198161,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 133/2019,2198168,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2297/2019,2198177,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2299/2019,2198218,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2316/2019,2198325,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2317/2019,2198326,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2319/2019,2198329,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2321/2019,2198331,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2323/2019,2198334,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2324/2019,2198335,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2325/2019,2198336,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 137/2019,2198338,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2341/2019,2198438,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2360/2019,2198511,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2387/2019,2198592,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2448/2019,2198921,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2475/2019,2199057,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2495/2019,2199158,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2517/2019,2199285,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2533/2019,2199370,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2543/2019,2199455,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2546/2019,2199467,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2554/2019,2199510,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2560/2019,2199519,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2561/2019,2199520,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2609/2019,2199980,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2614/2019,2200103,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2616/2019,2200109,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2655/2019,2200397,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2658/2019,2200403,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2667/2019,2200414,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2727/2019,2200684,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2775/2019,2200914,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2782/2019,2201514,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2790/2019,2201538,138126,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2801/2019,2201751,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2804/2019,2201754,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2852/2019,2203128,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 2860/2019,2203150,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2888/2019,2203390,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 2924/2019,2203574,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 2928/2019,2203624,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 348/2019,2204041,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3001/2019,2204062,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3016/2019,2204113,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3017/2019,2204115,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3021/2019,2204123,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3108/2019,2204560,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 294/2019,2204564,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3117/2019,2204604,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3153/2019,2205107,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3169/2019,2205239,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 342/2019,2205373,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 340/2019,2205388,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3214/2019,2205470,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 341/2019,2205479,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3226/2019,2205521,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PDL 345/2019,2205541,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3231/2019,2205603,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3232/2019,2205604,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 353/2019,2205754,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 362/2019,2205833,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3276/2019,2206299,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3278/2019,2206302,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3285/2019,2206354,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3291/2019,2206396,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3306/2019,2206445,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3331/2019,2206632,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3337/2019,2206680,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3338/2019,2206681,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3376/2019,2206973,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3386/2019,2207060,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3403/2019,2207121,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3430/2019,2207429,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3440/2019,2207498,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3507/2019,2207825,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3557/2019,2208267,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PLP 160/2019,2208386,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3628/2019,2208657,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3629/2019,2208658,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3630/2019,2208659,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3667/2019,2208912,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3710/2019,2209251,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3714/2019,2209304,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3743/2019,2209593,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3744/2019,2209594,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3745/2019,2209603,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3749/2019,2209663,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PLP 167/2019,2209791,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3821/2019,2210165,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3870/2019,2210751,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3887/2019,2210900,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3889/2019,2210908,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3891/2019,2210917,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3892/2019,2210918,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 3893/2019,2210919,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3896/2019,2210922,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3900/2019,2210926,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3911/2019,2211133,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 3930/2019,2211325,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3932/2019,2211365,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3954/2019,2211478,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 3994/2019,2211626,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4029/2019,2211880,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4036/2019,2211927,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4037/2019,2211929,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4083/2019,2212116,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,neutro
PL 4088/2019,2212138,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4090/2019,2212148,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4093/2019,2212180,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4219/2019,2213385,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4221/2019,2213391,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4228/2019,2213419,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4267/2019,2213739,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4293/2019,2213976,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4302/2019,2214006,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4359/2019,2214275,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4369/2019,2214324,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4375/2019,2214386,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4387/2019,2214480,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4430/2019,2214840,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4443/2019,2214923,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4453/2019,2214946,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4461/2019,2215040,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4462/2019,2215041,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4463/2019,2215042,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4538/2019,2215691,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4543/2019,2215723,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 516/2019,2216110,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4623/2019,2216597,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4650/2019,2216781,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4686/2019,2217178,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4689/2019,2217253,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4690/2019,2217254,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4706/2019,2217357,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4708/2019,2217369,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4778/2019,2217861,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4780/2019,2217869,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Neutro,Neutro
PL 4782/2019,2217903,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4784/2019,2217912,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 596/2019,2218177,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4838/2019,2218436,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4861/2019,2218565,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4907/2019,2219094,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4920/2019,2219262,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4942/2019,2219466,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4951/2019,2219523,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 4952/2019,2219524,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PDL 616/2019,2219656,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 4964/2019,2219666,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5000/2019,2219856,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5087/2019,2220521,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5116/2019,2220654,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5117/2019,2220655,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5124/2019,2220689,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 5125/2019,2220690,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5167/2019,2221186,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5170/2019,2221268,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5204/2019,2221658,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5215/2019,2221721,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PDL 641/2019,2221765,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5237/2019,2221943,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5892/2019,2222076,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 5280/2019,2222507,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5284/2019,2222555,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5291/2019,2222610,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5306/2019,2222715,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5391/2019,2224136,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 5399/2019,2224224,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5401/2019,2224227,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 5406/2019,2224264,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5435/2019,2224505,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5436/2019,2224508,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PL 5442/2019,2224581,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5465/2019,2224656,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5467/2019,2224664,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5471/2019,2224719,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5472/2019,2224720,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 658/2019,2225118,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5525/2019,2225331,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5574/2019,2225817,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5577/2019,2225894,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5583/2019,2226027,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5589/2019,2226165,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5607/2019,2226262,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5620/2019,2226382,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5626/2019,2226591,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5634/2019,2226717,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5689/2019,2227076,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5692/2019,2227140,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5696/2019,2227181,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5697/2019,2227182,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5702/2019,2227211,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5710/2019,2227268,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5722/2019,2227363,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5727/2019,2227394,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5734/2019,2227443,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5735/2019,2227445,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5765/2019,2227729,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5856/2019,2228312,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5850/2019,2228402,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 684/2019,2228776,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5920/2019,2229046,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5924/2019,2229098,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 5942/2019,2229289,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5966/2019,2229410,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 5967/2019,2229414,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 695/2019,2229475,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 553/2019,2229546,135108,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6028/2019,2229763,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 1396/2019,2230022,135648,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6079/2019,2230063,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 707/2019,2230192,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 6120/2019,2230281,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6132/2019,2230504,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 6150/2019,2230583,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 710/2019,2230633,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 6161/2019,2230641,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6187/2019,2230871,,,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 6222/2019,2231029,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6246/2019,2231476,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6251/2019,2231565,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Neutro,Neutro
PDL 718/2019,2231622,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PL 6263/2019,2231693,,,"Agricultura, Pecuária, Pesca e Extrativismo",,,,,,Positivo,Positivo
PDL 719/2019,2231711,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PDL 721/2019,2231771,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
PL 6271/2019,2231774,,,Meio Ambiente e Desenvolvimento Sustentável,,,,,,Positivo,Positivo
