nome,id_entidade_parlametria,partido,uf,casa,governismo,governismo_ma,peso_politico,votos_favoraveis,votos_contra,votos_indef,votos_sim_nao,apoio
Daniel Coelho,1178916,CIDADANIA,PE,camara,2.150360139817934,-2.5460198050781138,0.380964,12,1,1,13,0.9230769230769231
Daniel Freitas,1204367,PSL,SC,camara,7.516570765053775,3.3212339462698655,0.027892,2,21,0,23,0.08695652173913043
Daniel Silveira,1204454,PSL,RJ,camara,6.613325605329493,4.748159492740998,0.0250546,2,21,0,23,0.08695652173913043
Daniel Trzeciak,1204409,PSDB,RS,camara,3.2671930253252253,6.979123544584603,0.0242994,3,20,0,23,0.13043478260869565
Daniela Do Waguinho,1204459,MDB,RJ,camara,3.632549230285992,4.933084299436562,0.0351376,3,19,0,22,0.13636363636363635
Danilo Cabral,1160528,PSB,PE,camara,-2.047362016695641,-4.980876054232571,0.101712,4,0,18,4,1
Danrlei De Deus Hinterholz,1160552,PSD,RS,camara,2.812079317009781,-0.42597072450678475,0.147627,2,5,0,7,0.2857142857142857
Darci De Matos,1116379,PSD,SC,camara,4.823484746193607,0.7453848968832393,0.093479,3,17,0,20,0.15
Darcísio Perondi,173891,MDB,RS,camara,5.280748251563521,0.4355234739647429,NA,3,11,0,14,0.21428571428571427
David Miranda,1205548,PSOL,RJ,camara,-6.671582489892106,-8.973861970924675,0.0630377,3,0,6,3,1
David Soares,1204511,DEM,SP,camara,3.4590640949478484,0.7029735036477813,0.0667591,1,0,0,1,1
Delegado Antônio Furtado,1204451,PSL,RJ,camara,3.011566814584935,0.35041612282649837,0.0100985,2,18,2,20,0.1
Delegado Éder Mauro,1178908,PSD,PA,camara,6.120826951787667,3.166729803679903,0.0554176,2,14,0,16,0.125
Delegado Marcelo Freitas,1204512,PSL,MG,camara,4.738378327613098,6.485113720597553,0.00649573,2,19,0,21,0.09523809523809523
Delegado Pablo,1204569,PSL,AM,camara,4.7567536603676785,3.62029149919341,0.0114759,1,17,0,18,0.05555555555555555
