id_entidade,id_entidade_parlametria,casa,nome,sexo,partido,uf,governismo,governismo_ma,peso_politico,assinadas,autorias_ponderadas,positivas,negativas,neutras
345,2345,senado,Flávio Arns,M,PODEMOS,PR,-1.7142642059445805,-0.6066691795058361,0.107729,5,0.17169312169312168,4,0,1
35,235,senado,Jader Barbalho,M,MDB,PA,2.998704595364593,4.09878919389765,0.100657,4,3.032258064516129,3,0,1
3651,23651,senado,Alfredo Cotait Neto,M,DEM,SP,NA,NA,NA,0,0,NA,NA,NA
3713,23713,senado,Fátima Bezerra,F,PT,RN,NA,NA,NA,0,0,NA,NA,NA
374,2374,senado,Paulo Rocha,M,PT,PA,-10,-8.017689691528535,0.365028,6,0.5275132275132275,6,0,0
375,2375,senado,Valdir Ganzer,M,PT,PA,NA,NA,NA,0,0,NA,NA,NA
3777,23777,senado,Eduardo Gomes,M,MDB,TO,6.929703261781157,7.561679945501503,0.496637,3,1.0642857142857143,3,0,0
3806,23806,senado,Zequinha Marinho,M,PSC,PA,7.814913086701051,10,0.366733,4,3.032258064516129,1,2,1
3830,23830,senado,Davi Alcolumbre,M,DEM,AP,1.8754384004666758,1.925229207001962,0.921262,0,0,NA,NA,NA
415,2415,senado,Lael Varella,M,DEM,MG,NA,NA,NA,0,0,NA,NA,NA
4525,24525,senado,Fernando Collor,M,PROS,AL,-1.4668198538154051,5.176951410270911,0.0521469,2,0.07275132275132275,2,0,0
453,2453,senado,Pedro Chaves,M,MDB,GO,NA,NA,NA,0,0,NA,NA,NA
4531,24531,senado,Jayme Campos,M,DEM,MT,5.623642548660271,0.3887576155157806,0.0714857,5,2.1026284348864994,5,0,0
4545,24545,senado,Jarbas Vasconcelos,M,MDB,PE,1.9312027150726223,-0.3459730367299354,0.115619,0,0,NA,NA,NA
4558,24558,senado,Gladson Cameli,M,PP,AC,NA,NA,NA,0,0,NA,NA,NA
456,2456,senado,Ronaldo Caiado,M,DEM,GO,NA,NA,NA,0,0,NA,NA,NA
4560,24560,senado,Sérgio Petecão,M,PSD,AC,5.305099549394258,-7.578650193875107,0.457165,1,1,0,0,1
4606,24606,senado,Pinto Itamaraty,M,PSDB,MA,NA,NA,NA,0,0,NA,NA,NA
4610,24610,senado,Alexandre Silveira,M,PSD,MG,NA,NA,NA,0,0,NA,NA,NA
470,2470,senado,Chico Rodrigues,M,DEM,RR,7.51192093704238,7.709900806437851,0.0943838,4,2.069295101553166,4,0,0
475,2475,senado,Confúcio Moura,M,MDB,RO,5.221354680595756,0.049950893374418825,0.128613,9,4.1669141491722135,9,0,0
4770,24770,senado,Izalci Lucas,M,PSDB,DF,7.38816827369692,7.520341672222113,0.363945,5,2.1084656084656084,4,0,1
4786,24786,senado,Virginio de Carvalho,M,PSC,SE,NA,NA,NA,0,0,NA,NA,NA
4885,24885,senado,Jorge Yanai,M,DEM,MT,NA,NA,NA,0,0,NA,NA,NA
4979,24979,senado,Bene Camacho,M,PTB,MA,NA,NA,NA,0,0,NA,NA,NA
4981,24981,senado,Acir Gurgacz,M,PDT,RO,0.2595983967703468,3.6476647539586455,0.0695292,1,0.03333333333333333,1,0,0
4994,24994,senado,Eduardo Braga,M,MDB,AM,3.597649961401279,0.39719585253627443,0.668399,3,1.0714285714285714,3,0,0
5008,25008,senado,Humberto Costa,M,PT,PE,-7.9292455982710495,-7.640772394817315,0.395398,6,0.5917989417989418,5,0,1
5012,25012,senado,Randolfe Rodrigues,M,REDE,AP,-7.196862307916421,-8.01693969907416,0.723893,12,6.206332138590203,11,0,1
5038,25038,senado,Sandra Braga,F,MDB,AM,NA,NA,NA,0,0,NA,NA,NA
5056,25056,senado,Silvia Nascimento Cardoso dos Santos Cerqueira,M,REPUBLICANOS,BA,NA,NA,NA,0,0,NA,NA,NA
5236,25236,senado,Reguffe,M,PODEMOS,DF,-3.9071261846314673,-0.6864634615142027,0.0347646,6,0.21109404335210785,5,0,1
5257,25257,senado,Renzo Braz,M,PP,MG,NA,NA,NA,0,0,NA,NA,NA
5281,25281,senado,Nilda Gondim,F,MDB,PB,NA,NA,NA,0,0,NA,NA,NA
5322,25322,senado,Romário,M,PODEMOS,RJ,2.3445338232507336,-0.5144766609342071,0.312882,1,0.037037037037037035,1,0,0
5350,25350,senado,Jorginho Mello,M,PL,SC,5.07335843388894,7.459052470140094,0.399575,2,1.0285714285714285,2,0,0
5352,25352,senado,Rogério Carvalho,M,PT,SE,-9.175892802141895,-10,0.0770198,7,2.494179894179894,7,0,0
5376,25376,senado,Mara Gabrilli,F,PSDB,SP,1.2012439732659619,-2.9440876224322565,0.0964358,3,0.5727513227513228,2,0,1
5385,25385,senado,Irajá,M,PSD,TO,1.2480535342245336,4.6448272049295465,0.0611041,3,2.0285714285714285,1,2,0
5411,25411,senado,Weverton,M,PDT,MA,-3.3497685929942023,-6.1797511391270445,0.365876,5,1.206084656084656,2,0,3
