id_leggo,id_ext,sigla_tipo,numero,ementa,data_apresentacao,casa_origem,status,nome_proposicao,apelido,tema,prioridade,advocacy_link,keywords,tipo_agenda,explicacao_projeto,classificacao_ambientalismo,explicacao_ambientalismo
abe39bc996872369c2b8e78be817c9a3,2265166,PL,5150,"“Obriga a todos os municípios brasileiros que mantenham coletores seletivos de lixo reciclável, nos locais onde houver aglomeração e dá outras providências”",2020-11-12T10:24:00Z,camara,Ativa,PL 5150/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
70ee1907e769e62166026399b4c611a2,2265182,PL,5159,"""Todo município com mais de 50.000 (cinquenta mil) habitantes deverá manter um local apropriado para o descarte de material de construção inutilizado, entulho, e dá outras providências""",2020-11-12T15:49:00Z,camara,Ativa,PL 5159/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
f9ce0a16dd613d59f2692904758597fd,2265216,PL,5172,"Cria a Zona Franca da Biodiversidade da Amazônia Legal, nas condições que especifica.",2020-11-16T10:37:00Z,camara,Ativa,PL 5172/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
1796768fea528f5c3f4de05a3c55e807,2265220,PL,5174,"Altera a Lei n. 12.097, de 24 de novembro de 2009, para dispor sobre a rastreabilidade da cadeia de carnes de ovinos, caprinos e equídeos, bem como para garantir a segurança contra o crime de abigeato.",2020-11-16T13:04:00Z,camara,Ativa,PL 5174/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
295c122ea85f47ddd5d6d31c3b8bafae,2265242,PL,5180,"Autoriza o Ministério da Economia a criar o “Bolsa-Estiagem”, em amparo aos produtores rurais e agricultores familiares que dispuseram de perdas na safra e na renda por conta da estiagem que assola o estado de Santa Catarina.",2020-11-17T10:15:00Z,camara,Ativa,PL 5180/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
7c991cb08ec98ae8b87814256fffab8d,2265315,PL,5196,Art. 1º O artigo 32 da Lei 9.605 de 12 de fevereiro de 1998 .,2020-11-18T18:04:00Z,camara,Ativa,PL 5196/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
df10a26973b6b9c61a6a2622a847d6f7,2265449,PL,5212,“Cria em todos os municípios brasileiros a Unidade de Conservação Verde e dá outras providencias”,2020-11-19T16:57:00Z,camara,Ativa,PL 5212/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
76f22462d789f1efdef980b4161602a7,2265572,PDL,488,"Susta os efeitos da Resolução da Diretoria Colegiada - RDC nº 428, de 7 de outubro de 2020, da Agência Nacional de Vigilância Sanitária – ANIVSA, que “Altera a Resolução de Diretoria Colegiada - RDC nº 177, de 21 de setembro de 2017, que dispõe sobre a proibição do ingrediente ativo Paraquate em produtos agrotóxicos no país e sobre as medidas transitórias de mitigação de riscos, para tratar da utilização dos estoques em posse dos agricultores brasileiros de produtos à base do ingrediente ativo Paraquate para o manejo dos cultivos na safra agrícola de 2020/2021”.",2020-11-25T09:04:00Z,camara,Ativa,PDL 488/2020,NA,"Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
48c1370a21b727a7fda3c84af4e8263d,2265605,PL,5268,"Acrescenta dispositivos à Lei nº 12.651, de 25 de maio de 2012, e à Lei 9.605, de 12 de fevereiro de 1998, para proibir o uso da
técnica popularmente conhecida como “correntão” e incluir sua utilização como agravante da pena de crimes contra a flora.",2020-11-26T09:35:00Z,camara,Ativa,PL 5268/2020,NA,"Meio Ambiente e Desenvolvimento Sustentável;Agricultura, Pecuária, Pesca e Extrativismo",NA,NA,NA,NA,NA,NA,NA
5b3f60534f065999c1fecad8c9a61c63,2265607,PL,5269,"Altera o art. 38 da Lei 12.651, de 25 de maio de 2012 - Responsabilização dos causadores por incêndios florestais",2020-11-26T09:35:00Z,camara,Ativa,PL 5269/2020,NA,Meio Ambiente e Desenvolvimento Sustentável,NA,NA,NA,NA,NA,NA,NA
