id_leggo,id_principal,casa,id_autor.x,id_autor.y,peso_arestas,num_coautorias,nome.x,partido.x,uf.x,casa_autor.x,bancada.x,nome.y,partido.y,uf.y,casa_autor.y,bancada.y
cc265921abc63c5090042f84ecce26fb,143587,senado,178970,178970,1,1,Dep. João Daniel,PT,SE,camara,oposição,Dep. João Daniel,PT,SE,camara,oposição
cc265921abc63c5090042f84ecce26fb,143587,senado,2331,2331,1,1,Sen. Rose de Freitas,PODEMOS,ES,senado,governo,Sen. Rose de Freitas,PODEMOS,ES,senado,governo
cc265921abc63c5090042f84ecce26fb,143587,senado,374,374,3,3,Sen. Paulo Rocha,PT,PA,senado,oposição,Sen. Paulo Rocha,PT,PA,senado,oposição
cc265921abc63c5090042f84ecce26fb,143587,senado,5012,5012,1,1,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição
cc265921abc63c5090042f84ecce26fb,143587,senado,5352,5352,1,1,Sen. Rogério Carvalho,PT,SE,senado,oposição,Sen. Rogério Carvalho,PT,SE,senado,oposição
cc265921abc63c5090042f84ecce26fb,143587,senado,5585,5585,1,1,Sen. Luiz do Carmo,MDB,GO,senado,governo,Sen. Luiz do Carmo,MDB,GO,senado,governo
cc265921abc63c5090042f84ecce26fb,143587,senado,5953,5953,2,2,Sen. Fabiano Contarato,REDE,ES,senado,oposição,Sen. Fabiano Contarato,REDE,ES,senado,oposição
cc265921abc63c5090042f84ecce26fb,143587,senado,825,825,1,1,Sen. Paulo Paim,PT,RS,senado,oposição,Sen. Paulo Paim,PT,RS,senado,oposição
cce46205998c93683aeaccbf9b42d6c4,141446,senado,5422,5422,2,2,Sen. Marcos Rogério,DEM,RO,senado,governo,Sen. Marcos Rogério,DEM,RO,senado,governo
d015c5e324b9f1e9802bf27a39d4f6de,135179,senado,5012,5012,3,3,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição,Sen. Randolfe Rodrigues,REDE,AP,senado,oposição
d015c5e324b9f1e9802bf27a39d4f6de,135179,senado,5533,5533,1,1,Sen. Lasier Martins,PODEMOS,RS,senado,governo,Sen. Lasier Martins,PODEMOS,RS,senado,governo
d06af397c36c095c5231c2122fc6f7b5,145420,senado,5953,5953,1,1,Sen. Fabiano Contarato,REDE,ES,senado,oposição,Sen. Fabiano Contarato,REDE,ES,senado,oposição
d450fe4457ccf95699d47d7065b6f90d,136287,senado,475,475,1,1,Sen. Confúcio Moura,MDB,RO,senado,governo,Sen. Confúcio Moura,MDB,RO,senado,governo
d6e50d85963fb11027eb81cf33bd9284,135207,senado,5350,5350,1,1,Sen. Jorginho Mello,PL,SC,senado,governo,Sen. Jorginho Mello,PL,SC,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,3396,3396,1,1,Sen. Tasso Jereissati,PSDB,CE,senado,governo,Sen. Tasso Jereissati,PSDB,CE,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,5350,5535,0.25,1,Sen. Jorginho Mello,PL,SC,senado,governo,Sen. Telmário Mota,PROS,RR,senado,governo
d8a02979d2829415b1b87a300ce96d86,137118,senado,5350,5732,0.25,1,Sen. Jorginho Mello,PL,SC,senado,governo,Sen. Rodrigo Pacheco,DEM,MG,senado,governo
