id_principal,casa,id_documento,sigla,descricao_tipo_documento,id_autor,data,url_inteiro_teor,id_leggo,peso_autor_documento,casa_autor,nome_eleitoral,autores,id_autor_parlametria,tipo_documento,tipo_acao
2204062,camara,2204062,PL 3001/2019,Projeto de Lei,207176,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750321,13afcddadef0849d176ab0fef3370d3a,1,camara,Dep. Bia Cavassa (PSDB/MS),Dep. Bia Cavassa (PSDB/MS),1207176,Prop. Original / Apensada,Proposição
2204113,camara,2204113,PL 3016/2019,Projeto de Lei,204488,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750417,69516cf2ff0d2defdd1759221ce36ec5,1,camara,Dep. Célio Studart (PV/CE),Dep. Célio Studart (PV/CE),1204488,Prop. Original / Apensada,Proposição
2204113,camara,2206314,PL 3282/2019,Projeto de Lei,198783,2019-06-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1759395,69516cf2ff0d2defdd1759221ce36ec5,1,camara,Dep. Emanuel Pinheiro Neto (PTB/MT),Dep. Emanuel Pinheiro Neto (PTB/MT),1198783,Prop. Original / Apensada,Proposição
2204113,camara,2208374,PL 3576/2019,Projeto de Lei,204540,2019-06-17,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1765719,69516cf2ff0d2defdd1759221ce36ec5,1,camara,Dep. Maria Rosas (PRB/SP),Dep. Maria Rosas (PRB/SP),1204540,Prop. Original / Apensada,Proposição
2204115,camara,2204115,PL 3017/2019,Projeto de Lei,204488,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750420,6217d2ec70c98753bba6495ac45389eb,1,camara,Dep. Célio Studart (PV/CE),Dep. Célio Studart (PV/CE),1204488,Prop. Original / Apensada,Proposição
2204115,camara,2229880,PRL 1/0,Parecer do Relator,204419,2019-11-19,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1835175,6217d2ec70c98753bba6495ac45389eb,1,camara,Dep. Glaustin Fokus (PSC/GO),Dep. Glaustin Fokus (PSC/GO),1204419,Parecer,Outros
2204115,camara,2229881,SBT 1/0,Substitutivo,204419,2019-11-19,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1835175,6217d2ec70c98753bba6495ac45389eb,1,camara,Dep. Glaustin Fokus (PSC/GO),Dep. Glaustin Fokus (PSC/GO),1204419,Parecer,Outros
2204123,camara,2204123,PL 3021/2019,Projeto de Lei,204488,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750433,f47f7f56d3336864abff648a9a9be37e,1,camara,Dep. Célio Studart (PV/CE),Dep. Célio Studart (PV/CE),1204488,Prop. Original / Apensada,Proposição
2204123,camara,2217290,REQ 2257/2019,Requerimento de Desapensação,204398,2019-08-27,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1797090,f47f7f56d3336864abff648a9a9be37e,1,camara,Dep. Felipe Francischini (PSL/PR),Dep. Felipe Francischini (PSL/PR),1204398,Requerimento,Proposição
2204216,camara,2204216,PL 3045/2019,Projeto de Lei,204449,2019-05-21,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1750670,1e8edcd904dc70cc4b24db6fadfa8a13,1,camara,Dep. Nelson Barbudo (PSL/MT),Dep. Nelson Barbudo (PSL/MT),1204449,Prop. Original / Apensada,Proposição
2204328,camara,2204328,PL 3062/2019,Projeto de Lei,204511,2019-05-22,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1751083,ed9625d263ffd1af3c92ca6cf7325475,1,camara,Dep. David Soares (DEM/SP),Dep. David Soares (DEM/SP),1204511,Prop. Original / Apensada,Proposição
2204328,camara,2238395,PL 513/2020,Projeto de Lei,141391,2020-03-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1862527,ed9625d263ffd1af3c92ca6cf7325475,0.5,camara,Dep. Arnaldo Jardim (CIDADANIA/SP),Dep. Arnaldo Jardim (CIDADANIA/SP),1141391,Prop. Original / Apensada,Proposição
2204328,camara,2238395,PL 513/2020,Projeto de Lei,204527,2020-03-04,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1862527,ed9625d263ffd1af3c92ca6cf7325475,0.5,camara,Dep. Geninho Zuliani (DEM/SP),Dep. Geninho Zuliani (DEM/SP),1204527,Prop. Original / Apensada,Proposição
2204328,camara,2265636,REQ 2802/2020,Requerimento de Desapensação,141391,2020-11-27,http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1944441,ed9625d263ffd1af3c92ca6cf7325475,1,camara,Dep. Arnaldo Jardim (CIDADANIA/SP),Dep. Arnaldo Jardim (CIDADANIA/SP),1141391,Requerimento,Proposição
