id_leggo,casa_origem,casa_revisora,criterio_aprovada_em_uma_casa,casa_aprovacao,data_aprovacao,criterio_avancou_comissoes,comissoes_camara,comissoes_senado,criterio_req_urgencia_apresentado,casa_req_urgencia_apresentado,data_req_urgencia_apresentado,criterio_req_urgencia_aprovado,casa_req_urgencia_aprovado,data_req_urgencia_aprovado
00d8d1830279eecbe7cfb788b55cf884,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
f4e476b8426a1dda44f42d3af00a46c9,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
88fb2ea703a6c1834865ccc4d1b0f89d,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
728a798ba1378ded9898fc9696dedabe,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
465c7f3b408dc19a7918edd38e5df18f,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
aba7a0647180a3b37c576f07cf8de76b,camara,senado,TRUE,camara,NA,FALSE,NA,NA,TRUE,camara,2019-05-28T15:46:00Z,TRUE,camara,2019-06-05T09:00:00Z
8b4479c9d60feb352c1f90ea27710b80,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
8441a5458d46613ed033855a288d422c,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
76b4005fafb8dc4474cdc845f8195036,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
3379febd9edf2a01c95114e8ec9d5c86,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
b467e1adf56e8aa622a557e34bd330c6,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
96f4624ec62b6d466f99604e2f2c3daa,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
7a2c566a8a1a8ac455dbe438a8556392,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
728e3259f5fc67358b5af336cf70c81e,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
69516cf2ff0d2defdd1759221ce36ec5,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
6217d2ec70c98753bba6495ac45389eb,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
f47f7f56d3336864abff648a9a9be37e,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
1936af28823a0817e771380dfacce78d,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
ef28d472202af98f348b44dba7f26af7,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
502981994eea39cc5219deed51de3b53,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
15ca3093ce9b8e88a41e215985f16b9e,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
3e9779056b9e669871a10146810e0c72,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
eecc73a15f65cbc6666459377e24da97,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
e28a4f58a70aabc6c983764bde90579c,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
94814cf513a4deefd6104efa4cbd2596,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
b2ae56cdec6ed79aced0fc616298d073,camara,senado,FALSE,NA,NA,TRUE,CCJC,,FALSE,NA,NA,FALSE,NA,NA
65ced50aef5733e0af22dedcdbe5d459,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
d38333af16f69b8e09f87e770f217c58,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
ed431f7913fc113034bbb06a30064025,camara,senado,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA
